CUSTOMERID,CardAccountNumber,CardNumber,isActive
D-4821901,UYDD4043,7696-4562-9988-6323,1
D-4851731,KGMB7310,7696-509-7378-6883,1
D-4853223,GHLT4647,7696-7915-4380-4797,1
D-4856171,LCOO4643,7696-5560-878-2753,1
D-4864660,STIJ8835,7696-8011-888-1554,1
D-4872505,UCVR7287,7696-4374-3029-417,1
D-4873545,OTNZ6562,7696-5487-7781-3088,1
D-4873887,YDCZ6377,7696-3787-237-7976,1
D-4874310,GWTD2666,7696-4766-3138-4665,1
D-4877540,EXPW2392,7696-9886-217-7553,1
D-4886120,APVZ8483,7696-6254-2380-9333,1
D-4902354,KELZ6777,7696-5117-5383-7325,1
D-4917834,TGZB9690,7696-8670-9745-8633,1
D-4921966,FFYG6433,7696-620-464-9271,1
D-4930768,AQAD8455,7696-5134-5609-9453,1
D-4935721,VDOI8496,7696-850-7804-7465,1
D-4947384,BSNJ3739,7696-8069-9494-6691,1
D-4956153,TTZV3627,7696-4249-1107-8263,1
D-4957748,MGTN3564,7696-5934-7955-9604,1
D-4971726,GSHI3967,7696-7930-3751-485,1
D-4981755,MVQT9108,7696-9382-8760-9365,1
D-4982321,IGIQ3353,7696-9605-581-6470,1
D-4988252,CGKN3730,7696-6774-9515-4202,1
D-4993890,JMKB8787,7696-5268-9923-2750,1
D-5005057,QHHJ1323,7696-608-1038-7548,1
D-5019304,DBYS7396,7696-3346-7804-6820,1
D-5023747,UDOX5368,7696-741-9208-7600,1
D-5027200,CCUR3630,7696-1020-9827-1960,1
D-5039696,IKBE8160,7696-8072-8382-2102,1
D-5061162,ZXYE3761,7696-2234-3834-4753,1
D-5070607,ORQY7569,7696-9065-5104-5680,1
D-5079910,IUWW9054,7696-2334-8678-3489,1
D-5081376,DXVF1350,7696-2186-6528-36,1
D-5081439,USZI3508,7696-4989-182-5561,1
D-5086225,ZZVC2518,7696-1287-3080-6488,1
D-5097483,MWIK8937,7696-1791-4027-5743,1
D-5098856,QZZI1252,7696-5754-1351-5974,1
D-5101418,FYPM8477,7696-5282-2462-4239,1
D-5115198,RDCG9252,7696-8590-8522-2407,1
D-5118189,AYFK5851,7696-5367-6545-356,1
D-5126362,EIWC9773,7696-6590-1415-8791,1
D-5129893,HDCY1975,7696-338-8307-6808,1
D-5142308,GEHC6943,7696-9237-7076-5126,1
D-5145382,MCQV8542,7696-9011-4710-2232,1
D-5183986,JRBO7638,7696-8978-7576-5286,1
D-5191252,WRKS8957,7696-8638-9603-5832,1
D-5196209,OCDE9288,7696-3155-8203-612,1
D-5201136,UAID3269,7696-917-2270-1709,1
D-5217862,HPTH3128,7696-7045-550-4098,1
D-5224329,JJCS7003,7696-7606-2204-2265,1
D-5232616,DFHV5597,7696-1989-8791-7445,1
D-5245361,SXPQ7452,7696-8086-9707-9675,1
D-5248014,BEQY3762,7696-3722-6757-8209,1
D-5254697,MMVI7654,7696-7729-1977-2975,1
D-5258146,FIKB3470,7696-474-799-5950,1
D-5270894,DJCB7014,7696-7585-8404-6653,1
D-5270973,RNRD2960,7696-2082-9526-2536,1
D-5283463,IDGS4115,7696-1759-4212-1110,1
D-5293328,NHPQ9179,7696-8772-4787-5045,1
D-5297441,LRFY4293,7696-5516-8707-300,1
D-5320161,CZGV2559,7696-7732-1682-9850,1
D-5324050,LXUK4697,7696-189-7644-8177,1
D-5338182,LVOH1654,7696-1404-8455-7637,1
D-5338751,FPSZ5890,7696-1829-6405-4373,1
D-5347108,QTFM8921,7696-7050-7114-6017,1
D-5357314,LRNG1410,7696-7165-6342-5067,1
D-5370524,JRIY5688,7696-8756-2355-7671,1
D-5384366,EJJD1604,7696-1041-7121-702,1
D-5384377,EETM8743,7696-5618-4659-906,1
D-5389451,VBII7872,7696-1721-1455-2365,1
D-5391645,EDBX6198,7696-9671-285-8379,1
D-5391845,WBEK2486,7696-3271-4647-5689,1
D-5392390,LLEJ7360,7696-7514-6332-495,1
D-5400740,BLAN3965,7696-9292-107-5669,1
D-5425153,RDKQ6706,7696-3435-7097-1833,1
D-5427061,OFST4333,7696-1061-1914-9348,1
D-5428884,RTGH5996,7696-7462-8625-221,1
D-5435485,OCRQ1574,7696-3884-70-7649,1
D-5435663,SUIG6497,7696-2787-6181-2833,1
D-5435696,IZZY2861,7696-8494-4123-1885,1
D-5442856,HHAN2681,7696-6538-2214-592,1
D-5443114,WCYE4599,7696-2721-3660-5361,1
D-5451188,QKCF5166,7696-9871-5041-3686,1
D-5480163,JPEU7589,7696-9834-4588-6686,1
D-5482180,BADG9589,7696-5061-903-5444,1
D-5489587,JUQI3989,7696-3459-2088-2630,1
D-5494629,NEBQ4684,7696-8471-8484-8535,1
D-5505095,ZGMQ6292,7696-8522-8957-2510,1
D-5509360,JSCK7653,7696-2898-9553-1077,1
D-5512668,MKOJ7783,7696-3350-2479-2245,1
D-5535504,ZEBJ6029,7696-2561-6422-5943,1
D-5540958,EYAG5910,7696-2529-5915-9162,1
D-5547014,SPXQ8201,7696-1662-5194-4437,1
D-5565775,IUKK8828,7696-2571-3751-2562,1
D-5569498,ZUSL8052,7696-2209-9863-6565,1
D-5571905,LBCO1845,7696-3852-4956-5349,1
D-5573037,TNEA1115,7696-7199-5853-4723,1
D-5574634,TIJZ9762,7696-6793-5856-406,1
D-5586362,KWVJ5161,7696-3837-6768-43,1
D-5587790,CPFB5782,7696-9925-7350-9346,1
D-5598786,ODQZ5033,7696-6319-384-2469,1
D-5599113,LIFO7276,7696-7007-7350-6734,1
D-5631528,LNCG4535,7696-90-9895-8899,1
D-5631705,KGPF3044,7696-2682-3576-5360,1
D-5634665,NBKP1381,7696-2360-6446-9109,1
D-5642643,SMUR7668,7696-5980-9422-5085,1
D-5645499,WJXT6069,7696-8710-6424-7471,1
D-5650948,QPMV7995,7696-7125-2475-6242,1
D-5651913,RISN6652,7696-1762-3211-1010,1
D-5683829,WIOX3679,7696-605-8732-6939,1
D-5699323,BYEN1772,7696-3265-496-6400,1
D-5703833,ARMV7533,7696-1910-6726-1564,1
D-5705300,IKSQ6853,7696-8991-4073-3547,1
D-5707049,GRCU6206,7696-3858-1563-2454,1
D-5708152,FDBL8622,7696-1166-9501-287,1
D-5711436,VMPD1347,7696-4349-625-1115,1
D-5726047,AMSE1784,7696-1607-3849-5792,1
D-5732923,BEGZ8358,7696-3834-5771-2938,1
D-5733184,JFOT1884,7696-5599-9174-9264,1
D-5741524,GXWD9850,7696-4614-7545-9877,1
D-5744398,HBWT4143,7696-3325-4678-7143,1
D-5754187,DRSZ8936,7696-3245-4412-6312,1
D-5755121,DETR3058,7696-1134-5258-2412,1
D-5755679,BRLT5170,7696-4395-2309-1897,1
D-5756957,FJWV3848,7696-2918-4255-6859,1
D-5764750,GWRS7859,7696-8306-5959-3831,1
D-5771179,TCBG8417,7696-753-7542-6826,1
D-5794479,RRFB8830,7696-5587-8620-6161,1
D-5800400,QPKJ8856,7696-8338-1203-5143,1
D-5806970,BZLI4446,7696-6160-4931-2650,1
D-5814453,JFAU9401,7696-2037-1172-9136,1
D-5818277,DJAT6704,7696-9845-6972-2112,1
D-5828189,ENLZ1822,7696-8624-2126-398,1
D-5828429,FTWW3506,7696-8906-9536-6648,1
D-5835305,MANV9063,7696-173-7820-2286,1
D-5843028,CXEV3013,7696-4576-2874-2557,1
D-5844075,NMUE7220,7696-1087-4119-3603,1
D-5844118,RVXU5611,7696-4876-7461-584,1
D-5855101,WPTR4888,7696-7210-717-5150,1
D-5860885,LFZT7372,7696-704-5576-2202,1
D-5862801,RRTB5018,7696-9621-7298-6884,1
D-5863204,DCUE5529,7696-7581-1326-8513,1
D-5872766,KMLA2353,7696-899-8857-4447,1
D-5874129,CSLS2332,7696-3081-2922-6421,1
D-5889548,GXRB9311,7696-3085-2606-9028,1
D-5889751,CYWZ7866,7696-7787-5892-1522,1
D-5892438,NICE4836,7696-6434-9811-7860,1
D-5896778,QDYJ8768,7696-7158-4867-1195,1
D-5898789,APUO6694,7696-9947-376-2084,1
D-5904322,KRSR3007,7696-713-4649-8279,1
D-5904824,PUSV5088,7696-9774-3055-1199,1
D-5908501,DWVK8543,7696-542-8720-280,1
D-5909512,ZTHX9636,7696-1982-4811-6553,1
D-5927097,ZGIM9937,7696-9263-3579-919,1
D-5933360,HCRW1783,7696-6803-6046-1737,1
D-5934340,GEZR1208,7696-6491-854-3884,1
D-5937506,LCMO6571,7696-6338-2310-9923,1
D-5945463,AWZF1181,7696-9088-5981-6860,1
D-5945580,PFXA5277,7696-2426-1093-816,1
D-5956434,SUPF7368,7696-891-9982-7494,1
D-5957115,RQOI4784,7696-5358-6308-5148,1
D-5969236,AMOD1213,7696-1003-7376-9345,1
D-5976200,AGSO9570,7696-3148-5943-6784,1
D-5996587,ZKHC9534,7696-7716-5702-2983,1
D-6000200,CTUV2933,7696-6959-8534-6677,1
D-6003434,XOTO4993,7696-9999-4937-1547,1
D-6019551,QRPZ9146,7696-8729-4045-8656,1
D-6020387,UGXE5657,7696-5847-8006-1884,1
D-6045740,IYCZ3164,7696-8332-962-358,1
D-6048279,YSXO3965,7696-7827-8221-8201,1
D-6052137,JANL9786,7696-197-722-6662,1
D-6064218,KSCQ1574,7696-1815-4420-8529,1
D-6064473,XZHO6905,7696-720-8349-1964,1
D-6070794,GIRV4933,7696-802-1740-5348,1
D-6086974,JMIE5497,7696-5922-1222-420,1
D-6094153,BNWL8322,7696-9159-5807-9090,1
D-6094650,ASBN7417,7696-179-636-5367,1
D-6098624,UYBV2508,7696-3974-9690-288,1
D-6105130,ZDRT1712,7696-4155-7554-4451,1
D-6129159,RKVI4676,7696-7700-7690-1139,1
D-6132061,RWLA6514,7696-8577-3884-3481,1
D-6139849,STPW7084,7696-6190-4359-933,1
D-6157538,CWGB8324,7696-8330-150-7338,1
D-6175252,FEDR8455,7696-7180-9632-5054,1
D-6180181,ELIU5905,7696-6240-7421-7405,1
D-6189653,RMOP5922,7696-5569-9130-4607,1
D-6190397,YOUV6532,7696-8463-1558-1217,1
D-6207021,MERW8996,7696-6669-9085-2529,1
D-6207021,MERW8996,7696-7673-7050-911,0
D-6215541,GNVK9775,7696-1456-1925-4302,1
D-6218353,CAOD8936,7696-3925-1917-1935,1
D-6227239,HXCB4615,7696-1102-5881-8952,1
D-6241072,MDBJ6875,7696-6342-5608-6355,1
D-6243021,AEER8604,7696-6349-1018-4139,1
D-6245611,LHMA8451,7696-5287-6476-5105,1
D-6249115,VPVT6542,7696-6659-4028-922,1
D-6256734,IBKO3196,7696-8051-1686-1300,1
D-6261426,HXXZ5601,7696-3818-8957-8320,1
D-6262456,IMEM5908,7696-6962-163-7112,1
D-6264769,XIFB4884,7696-3247-635-4348,1
D-6265620,TIDJ1915,7696-9408-8268-7962,1
D-6266097,KBTC2683,7696-5845-6053-9453,1
D-6269997,NYIC5216,7696-1705-892-9820,1
D-6274967,LXXJ6724,7696-9667-2303-3607,1
D-6280055,MUFE4438,7696-1903-6675-1764,1
D-6283231,AUEK5717,7696-7715-1330-6383,1
D-6303750,FELR2468,7696-5649-9484-6632,1
D-6316535,DFSB2615,7696-3051-1817-4195,1
D-6318174,SIIS2938,7696-6596-1451-2557,1
D-6323665,YRZP8084,7696-2291-1312-2942,1
D-6327836,PAJU3444,7696-6647-6353-7254,1
D-6329491,EYGK3324,7696-6653-2041-4778,1
D-6329524,MHSY3956,7696-895-2804-3828,1
D-6332295,NNQV2072,7696-9161-8796-5125,1
D-6339446,MUKM5051,7696-9414-3767-3203,1
D-6346617,QUIR3539,7696-7386-6062-6709,1
D-6372899,HHBR5554,7696-523-524-998,1
D-6373482,VCGP6705,7696-1938-9260-9257,1
D-6376964,FWUX2916,7696-6015-8665-5068,1
D-6382355,DIMW2224,7696-629-539-4722,1
D-6389468,UHLJ4508,7696-520-1537-5133,1
D-6396424,DUZB7101,7696-1176-7266-8227,1
D-6398456,UGRJ8684,7696-4649-9457-3590,1
D-6405288,LMSL5930,7696-6543-9447-3233,1
D-6407744,HGTZ8685,7696-5492-462-1223,1
D-6411280,JFIX6918,7696-301-4771-9333,1
D-6414219,MYHM6591,7696-3667-4355-463,1
D-6418010,DHAF3911,7696-8170-8903-2028,1
D-6425912,TTPU7013,7696-1121-7890-1517,1
D-6437746,IZGN1783,7696-368-8642-2487,1
D-6439614,IMEL1964,7696-9138-8263-3785,1
D-6440395,XHCT4901,7696-8823-1773-7636,1
D-6454243,LONH2963,7696-1026-1870-7378,1
D-6485399,NCCO5964,7696-9432-7625-1580,1
D-6491916,MHSS4205,7696-3861-5994-2742,1
D-6498541,KQAS5491,7696-8548-8520-9773,1
D-6508964,TWKR1174,7696-990-888-3416,1
D-6509834,MDCR9567,7696-9053-1884-7669,1
D-6510839,JHYJ9066,7696-2379-647-105,1
D-6510964,KAKG1773,7696-6517-8165-1947,1
D-6548722,SVBN1472,7696-52-2543-2062,1
D-6551035,ZRIN7373,7696-2021-7369-9086,1
D-6554224,KWBE5352,7696-2268-8290-6975,1
D-6564891,CPZY1788,7696-838-1787-2278,1
D-6567471,KVIY9213,7696-1543-5648-252,1
D-6569155,RQLU5527,7696-2402-3291-4492,1
D-6571790,ETZG6975,7696-769-5251-7998,1
D-6582406,UKGI9878,7696-3907-6564-2110,1
D-6583133,EGKG3979,7696-8659-4597-5660,1
D-6583864,IYWW3409,7696-3402-8024-9027,1
D-6584791,QFYL2627,7696-418-7651-6623,1
D-6593292,NSYZ4710,7696-3479-2970-6409,1
D-6598422,DRYM8315,7696-8309-5758-257,1
D-6635917,RNKK4631,7696-1091-3903-6323,1
D-6643690,JIKU9665,7696-4137-7934-259,1
D-6651370,KIUY4112,7696-6111-9993-7625,1
D-6653750,TLBF9271,7696-5759-8455-6188,1
D-6654233,DDJI2262,7696-8212-6363-8894,1
D-6660852,AVUN9020,7696-7766-4898-4948,1
D-6664543,GHUR8512,7696-8316-8052-9556,1
D-6665613,HMHE5103,7696-4796-7500-1320,1
D-6666701,XQDL9175,7696-3975-4210-8730,1
D-6674856,DLFI8805,7696-9291-4936-5976,1
D-6675186,LPJQ8785,7696-51-3224-9419,1
D-6678408,PFYY3619,7696-1436-9967-639,1
D-6680997,GULR7823,7696-2444-2586-7099,1
D-6682132,JKHT2083,7696-618-3692-2929,1
D-6698597,VXPW7205,7696-3688-4370-9245,1
D-6700449,BOIQ4053,7696-6551-2150-9466,1
D-6708824,HSUI9933,7696-2557-9804-911,1
D-6734739,WCFG1792,7696-1444-3347-3622,1
D-6735369,RUXW3806,7696-6485-1315-3928,1
D-6745413,XFNZ2790,7696-3149-9526-926,1
D-6747343,RFNW9683,7696-4122-9631-5725,1
D-6749551,XXCH3349,7696-4424-9437-9069,1
D-6762275,OCFV4209,7696-1778-6459-9957,1
D-6773415,GITV7003,7696-2268-5076-5240,1
D-6773698,SEBL2076,7696-6859-5066-2220,1
D-6774524,AAEG4907,7696-3582-930-8768,1
D-6778402,OXCE7747,7696-9833-6412-5773,1
D-6779874,VTQB8767,7696-8401-2790-2969,1
D-6780613,RYKU3249,7696-94-1132-2188,1
D-6783318,GJMV8848,7696-7619-5307-7995,1
D-6798515,YZDM5852,7696-9620-2970-5993,1
D-6803525,EXYA9651,7696-4393-814-2569,1
D-6811715,RQSY1397,7696-7064-8027-6706,1
D-6812665,LOLG2304,7696-3645-7252-8191,1
D-6818268,CZYU2051,7696-2729-9635-929,1
D-6842399,UPJD6900,7696-5699-4523-2956,1
D-6844379,EBTI6458,7696-6391-9796-9371,1
D-6879548,HVQF7980,7696-1684-4389-6796,1
D-6888047,QIUC4914,7696-3869-634-8501,1
D-6888487,YPVT8765,7696-5532-520-2457,1
D-6901899,LBAL3168,7696-3594-1489-1719,1
D-6910352,WCUU4311,7696-2377-8633-8038,1
D-6913738,TCYO6009,7696-2973-8163-2676,1
D-6931159,JHZG5203,7696-6889-1217-2754,1
D-6968795,PJUE9805,7696-3199-4383-2674,1
D-6970679,FGDU4506,7696-2482-894-2269,1
D-6973873,ABRV9955,7696-8327-7009-208,1
D-6983236,ZFCE8110,7696-6231-977-2391,1
D-6983644,CDPK2174,7696-904-1582-6849,1
D-6993344,YEEQ6853,7696-1337-9396-3231,1
D-7005616,BHRS2226,7696-5704-9977-3359,1
D-7006452,DCFL2314,7696-73-1741-3071,1
D-7020643,JXHT4736,7696-6202-9114-6462,1
D-7029674,GTDT4958,7696-9412-9922-8006,1
D-7030606,CGCJ6237,7696-2881-5850-2368,1
D-7034989,GHXK6845,7696-6139-3776-7401,1
D-7042332,DILX2664,7696-1865-5872-5254,1
D-7045102,JCWF3716,7696-6632-7073-8744,1
D-7050172,YRWD3038,7696-9265-7701-1721,1
D-7053330,ELAX8149,7696-3364-6757-7293,1
D-7054967,IHQL5225,7696-8834-7508-9108,1
D-7073270,CTEF8830,7696-5800-3877-6445,1
D-7077603,UTBC9682,7696-4628-3405-4008,1
D-7082312,KNTP4254,7696-1090-367-5272,1
D-7085636,XNPC8887,7696-6597-5664-2083,1
D-7090653,JWVK3761,7696-7235-835-5319,1
D-7102476,LNPQ5898,7696-9858-1463-1179,1
D-7118478,ZCGR2543,7696-4308-7251-7350,1
D-7121782,GBKN5899,7696-3169-1549-1355,1
D-7147934,DDMZ3173,7696-4240-3906-733,1
D-7148844,DOQC4223,7696-2024-5196-5622,1
D-7151157,LCNO7319,7696-5999-176-9211,1
D-7167916,QAUT3984,7696-1063-9655-1140,1
D-7184012,UFOF6146,7696-1936-5162-3037,1
D-7187655,BSLQ5696,7696-2693-2550-3528,1
D-7196124,COBV4675,7696-2339-2603-8398,1
D-7205435,ZBJY1368,7696-4204-9509-6492,1
D-7208367,DNTQ6707,7696-758-1766-8675,1
D-7220097,OUUH1611,7696-3509-3061-8126,1
D-7226615,QINA6190,7696-2479-6651-4284,1
D-7227090,YSBM3478,7696-3234-8280-4829,1
D-7234144,TDZK6390,7696-8180-3322-5822,1
D-7245051,PSBR6585,7696-6516-8163-3408,1
D-7252513,QWRN1855,7696-5445-6764-1741,1
D-7254078,MYVD3524,7696-9079-1733-5751,1
D-7261165,OVVV6640,7696-2444-6770-1506,1
D-7268604,MUDH2808,7696-3390-8017-8800,1
D-7287006,GQWI5675,7696-9927-5863-2107,1
D-7288739,WWQI8321,7696-5493-9645-9874,1
D-7298460,ZPIT5037,7696-7884-7426-6689,1
D-7301959,EMSZ4381,7696-307-3693-7191,1
D-7304527,HOMB3458,7696-6118-2081-5325,1
D-7305647,GIBN1699,7696-6319-5894-8170,1
D-7329318,HCHD8238,7696-9670-9339-3996,1
D-7371439,WEVS3204,7696-8311-4163-6397,1
D-7376387,LPBV4776,7696-3333-3137-4462,1
D-7384442,JIVL9705,7696-7859-484-1860,1
D-7387552,SFPJ9520,7696-2150-3100-8069,1
D-7388201,TQHL8005,7696-7706-7211-838,1
D-7402115,MNYH7319,7696-9828-601-876,1
D-7411827,GSPB4092,7696-7807-9705-3293,1
D-7421965,WSUD2679,7696-7023-5303-4261,1
D-7435031,JZBT3093,7696-5199-6865-6981,1
D-7440494,XIHW8849,7696-7751-4053-230,1
D-7462267,AKBC1644,7696-5559-318-4250,1
D-7482403,MPLS3960,7696-5026-9026-7812,1
D-7496372,GYEF2623,7696-3067-8106-7469,1
D-7505750,IWWX9105,7696-824-4791-5624,1
D-7511149,QJVT4129,7696-8563-6141-9538,1
D-7530434,FZMM3163,7696-6614-3433-1484,1
D-7548281,NSOD7443,7696-8992-8990-8646,1
D-7554295,MHDA6737,7696-7305-815-4990,1
D-7556576,GLSR5288,7696-532-7548-4239,1
D-7562584,FCUZ7099,7696-6946-4880-3426,1
D-7563214,WNQP4544,7696-5496-3032-3385,1
D-7581530,MTDP3847,7696-3005-1345-4020,1
D-7581952,ZENO8646,7696-854-3088-78,1
D-7583247,FPWA8954,7696-3865-9529-2494,1
D-7587404,PZXH8613,7696-3581-8207-2211,1
D-7588414,KRSS1667,7696-1721-2735-5954,1
D-7604701,XUZQ8173,7696-5845-1729-1613,1
D-7608294,IXTO1982,7696-2552-7326-1110,1
D-7619679,GZFS7594,7696-8733-4532-7916,1
D-7621462,PZMQ9553,7696-3919-9194-166,1
D-7642233,ZPSE2957,7696-3126-5351-5115,1
D-7645840,EGQZ9773,7696-1240-5195-4984,1
D-7652545,EFAX3561,7696-9589-8569-6765,1
D-7653784,TUTE1913,7696-3244-8222-785,1
D-7658349,XLFM2886,7696-6106-7905-8423,1
D-7666093,KAYO8022,7696-2233-9630-7091,1
D-7676669,KSOE7323,7696-927-6046-946,1
D-7691022,UUEL8924,7696-6715-862-2245,1
D-7696256,LTTT4527,7696-4004-1520-3090,1
D-7703014,NAGX4440,7696-7388-478-6596,1
D-7704554,RGLJ7485,7696-4786-9923-1169,1
D-7738495,INYY5767,7696-1029-8974-8533,1
D-7739250,IVHP6847,7696-5147-9993-8181,1
D-7740479,PTOC5417,7696-5342-8628-4812,1
D-7744998,NJVA1219,7696-540-8625-5733,1
D-7750689,HMJZ7322,7696-4369-7928-1137,1
D-7753893,STDF4545,7696-7459-2230-7903,1
D-7758125,KTRX6907,7696-8089-4571-5119,1
D-7759777,VODF2417,7696-6040-9618-2906,1
D-7765577,GPPO8642,7696-7716-6677-4584,1
D-7766414,WETN2512,7696-9580-6322-6977,1
D-7794465,WKHK7877,7696-7859-2566-9779,1
D-7797268,HPHB1610,7696-4425-8324-6912,1
D-7799014,LLOZ2989,7696-1417-6352-2226,1
D-7811374,DFTY1444,7696-6708-170-8319,1
D-7818510,ITDR1663,7696-5313-7381-3096,1
D-7821718,KTML1293,7696-7714-3568-6372,1
D-7830273,ATNB5243,7696-2884-9342-437,1
D-7831260,GKPC5101,7696-8081-3468-3374,1
D-7831664,ZVSB2252,7696-4134-4362-9300,1
D-7843640,TXNS4489,7696-9605-2968-9237,1
D-7845562,YEJW8796,7696-6712-3680-6102,1
D-7846931,EBST5880,7696-9891-7697-7201,1
D-7864695,YAPY9225,7696-6278-2386-8790,1
D-7882603,UJVV1798,7696-6665-8422-8043,1
D-7885425,LLWX1304,7696-4343-6000-8132,1
D-7887007,UGWB3482,7696-5044-3133-7968,1
D-7898182,YHVL1582,7696-824-2661-2618,1
D-7900172,VSWT7428,7696-6165-1180-3974,1
D-7910446,OMQW3893,7696-1187-9688-4863,1
D-7934803,YUVT6690,7696-6626-6528-8247,1
D-7934803,YUVT6690,7696-9419-9324-8837,0
D-7941166,FYUU6906,7696-343-4090-9691,1
D-7942760,IWKW1738,7696-4255-5293-3495,1
D-7943528,BGGV2626,7696-4631-7149-7775,1
D-7950609,MVQR9959,7696-7165-9998-3494,1
D-7959432,LMVO6167,7696-7553-9428-7695,1
D-7963193,MAMZ4619,7696-3179-267-4239,1
D-7964023,QDDQ5846,7696-1703-7708-742,1
D-7985069,BBYF6843,7696-4089-790-5584,1
D-7996788,BYUO4105,7696-4557-446-7761,1
D-8008144,IECR7554,7696-7267-9458-5812,1
D-8009891,YFYG6365,7696-4239-231-1351,1
D-8010499,NWOV6431,7696-7265-1715-4901,1
D-8010995,MHPQ8281,7696-2087-4039-4888,1
D-8029033,MHWQ6254,7696-6128-5594-3506,1
D-8042746,XHJI8294,7696-4572-5075-8450,1
D-8046007,GJWS1678,7696-5166-672-9797,1
D-8046495,YXDN6055,7696-9537-7216-7812,1
D-8048408,EPYC7904,7696-1882-8592-2475,1
D-8058476,TLPU6922,7696-3203-6067-9270,1
D-8086332,UKVQ4280,7696-5886-4207-8734,1
D-8112355,BQSY3268,7696-1725-6741-483,1
D-8112846,ZVDC3038,7696-9888-6395-4469,1
D-8119455,MKNA9430,7696-2187-6932-5550,1
D-8124475,RDOM7680,7696-9008-3552-5102,1
D-8128595,KJGJ2596,7696-1851-1251-8816,1
D-8145903,ZZDZ5489,7696-5910-7992-7107,1
D-8148962,WUVF7674,7696-9520-218-5639,1
D-8154207,PCKG4983,7696-7653-4407-4332,1
D-8175554,BIKE3539,7696-7656-5536-9388,1
D-8176483,JEBB4930,7696-590-1884-8329,1
D-8179657,RPSU5484,7696-3692-5007-4429,1
D-8181027,HLKW6556,7696-9686-1294-2042,1
D-8181173,HNJA9592,7696-5491-7938-2002,1
D-8185966,PCDA3935,7696-3714-2069-7846,1
D-8188521,TDNL6217,7696-9587-603-5794,1
D-8215712,AUYJ4338,7696-2097-3844-6009,1
D-8219142,BKWE8131,7696-8517-2421-9666,1
D-8225434,MSFO1348,7696-4083-3091-8222,1
D-8226389,HAFD2183,7696-6855-447-767,1
D-8230646,CKVJ5043,7696-453-109-6558,1
D-8231793,TMRD5209,7696-7766-4368-7139,1
D-8243478,DIGT4538,7696-7804-4989-630,1
D-8251423,WQWD6000,7696-7776-412-3261,1
D-8255283,PMOB9960,7696-6970-8777-2454,1
D-8257417,JNRN5021,7696-32-1216-7743,1
D-8259892,IQIW7641,7696-5107-7887-9400,1
D-8265558,WSSR5468,7696-7447-2838-8553,1
D-8265626,CHRV8791,7696-3115-9984-4294,1
D-8276320,TUKJ6116,7696-795-7750-5275,1
D-8278473,ZVZG8759,7696-9649-6946-4180,1
D-8279252,PBYP7226,7696-4588-6775-5785,1
D-8290827,DOZQ9187,7696-8734-7379-8646,1
D-8294908,FWEO2026,7696-3544-7768-1469,1
D-8337329,ERQR1163,7696-9599-1962-4231,1
D-8350471,YKCD9485,7696-332-7108-9603,1
D-8379068,ABOQ3763,7696-2884-4363-8004,1
D-8387654,VOLG9065,7696-7383-5298-526,1
D-8395871,MNQJ1194,7696-4332-3489-2054,1
D-8395871,MNQJ1194,7696-4343-6322-1543,0
D-8397616,TNII8126,7696-8136-2556-3069,1
D-8411752,KRFO3304,7696-2612-6420-4639,1
D-8417387,AFYG1610,7696-570-5790-7690,1
D-8441723,UZCW7335,7696-129-2038-7933,1
D-8443442,NDQE7250,7696-5201-6952-4666,1
D-8453824,RZVQ5245,7696-674-2429-5765,1
D-8457079,PNQZ9060,7696-9348-5280-2973,1
D-8463867,NAVQ8195,7696-6589-5535-7713,1
D-8478595,PSMZ1388,7696-591-4296-4289,1
D-8478653,UBRL4006,7696-1876-120-8001,1
D-8482449,OGWL1828,7696-936-6805-8030,1
D-8486396,MYPP5887,7696-2754-2666-770,1
D-8492098,OYTG9731,7696-8776-3255-3147,1
D-8502919,LTUI9896,7696-5831-3599-3676,1
D-8512318,BQVA7847,7696-3193-5669-4910,1
D-8513114,UMLF4209,7696-625-2628-9528,1
D-8513311,CSHD2483,7696-1966-2752-8543,1
D-8517495,ZDSA3453,7696-2621-4625-5450,1
D-8519701,GWEX4022,7696-4753-5340-33,1
D-8533279,QFLZ5554,7696-6300-6801-4904,1
D-8541331,VAJL2669,7696-2493-9208-239,1
D-8544659,UPCK2812,7696-9543-4212-8159,1
D-8547148,EDZT3668,7696-5352-7615-6519,1
D-8547259,QZNR9405,7696-8059-5278-5179,1
D-8551489,HSZQ5903,7696-3193-8188-272,1
D-8552313,PLOV1555,7696-7883-1586-3457,1
D-8552313,PLOV1555,7696-8344-7403-544,0
D-8557845,HDPX9053,7696-7203-3834-4348,1
D-8560383,TXSD7717,7696-6353-9763-6125,1
D-8566165,SNXZ2156,7696-1922-5144-3463,1
D-8567359,NAEU6227,7696-8701-8999-6831,1
D-8579705,EDKM4484,7696-7083-3673-5066,1
D-8584380,ADBA7408,7696-9649-1386-816,1
D-8585693,BEJC9813,7696-1018-995-5541,1
D-8588022,ADHS2750,7696-9672-9632-65,1
D-8593830,PERQ1376,7696-4417-3462-3303,1
D-8594084,HTZV9443,7696-5499-1205-8056,1
D-8597830,CFPB1901,7696-77-3913-3194,1
D-8603790,GTFI5572,7696-1052-2266-4488,1
D-8606673,JRMI6792,7696-5578-92-4004,1
D-8606894,AMPU8019,7696-337-3387-2068,1
D-8609302,GMBV1217,7696-444-5079-3001,1
D-8610134,HBIV5244,7696-2174-8789-5238,1
